row,source_label,narrative
5689,Money transfer or service,"Company : Cash App / Cash App Taxes Issue : Tax stimulus refund not credited to my account despite being sent by the State of Minnesota. I am submitting this complaint because Cash App has failed to resolve an issue involving my XXXX Minnesota state stimulus tax refund and has not responded to a formal demand letter sent by my attorney. For my XXXX tax return, I used Cash App Taxes to prepare and file my taxes. As part of that process, I expected my Minnesota state stimulus tax refund to be deposited into my Cash App account. The State of Minnesota informed me that my refund of {$780.00} was issued and transferred through its payment processor, Submittable, to my Cash App account. However, the funds were never credited to my account. After discovering that I had not received the refund, I contacted Cash App multiple times. I opened claim/support ticket. I was repeatedly referred back and forth between Cash App Support and Cash App Taxes Support, with neither department resolving the issue or explaining what happened to my funds. I also contacted the State of Minnesota. The State informed me that it can not reissue my refund unless Cash App first returns the funds that were transferred to Cash App. As a result, my {$780.00} refund has effectively been inaccessible for an extended period of time. To try to resolve this matter without regulatory intervention, my attorney sent Cash App a formal demand letter requesting that Cash App either : XXXX Credit my account with the {$780.00} that was transferred on my behalf, or 2. Return the funds to the XXXX of Minnesota so the State can issue my refund directly to me. The demand letter requested a response within 21 days. Cash App did not respond. At this point, I have exhausted the companys customer support process and attempted to resolve the matter through legal correspondence without success."
5690,Mortgage,I have been trying to recieve a loan modification from Bank of America and feel my case has not been reviewed correctly.Myself and my lawyer have sent in all items asked of us in the proper time frame and still have had no response.
5691,Money transfer or service,"I am filing a complaint against Cash App ( Block Inc. ) due to inadequate customer service and unfair practices, which violate the Consumer Financial Protection Act ( CFPA ). Specifically, Cash App failed to take timely and effective measures to prevent and address fraud on their platform, leaving my account vulnerable and unprotected. Furthermore, their dispute resolution process was unfair and deceptive, as they did not comply with error resolution requirements under the Electronic Fund Transfers Act ( EFTA ) and Regulation E. These actions have caused significant inconvenience and financial loss, and I seek appropriate redress for these violations."
5692,Credit reporting,"This is my final notice regarding your ongoing noncompliance with federal credit reporting laws. I previously disputed the accuracy and legitimacy of several items on my credit report, yet your agency has failed to act in accordance with the Fair Credit Reporting Act ( FCRA ) and the Fair Debt Collection Practices Act ( FDCPA ). 

Your violations include : Failure to validate the debt as required under 15 USC 1692g ( Section 809 ( b ) ).

Continuing communication after a certified cease-and-desist request, violating 15 USC 1692c ( Section 805 ( c ) ).

Harassment under 15 USC 1692d ( Section 806 ). 
Recently, I received notice that your investigation was complete, but the disputed accounts remain on my credit report. These accounts are not only inaccurate but were never authorized by me. No valid contract exists, and I have not provided any written consent for the reporting of these accounts, as required under 15 U.S. Code 1681b.

I demand that the following items be deleted immediately from my credit report :"
5693,Mortgage,"The Law Office of XXXX XXXX, XXXX, applied for a Loan Modification for our client XXXX XXXX with Chase Bank. The Bank DENIED our request based on our client monthly income not considering that XXXX XXXX receives over {$5000.00} in rental income, which it was submitted to Chase but they refused to consider this rental income to approve him for a Loan Modification. We provided sufficient documentation to support XXXX XXXX financial stability to afford his mortgage payment and trustee payment. The amount estimated in the Debt to income ratio is not accurate provided by Chase. We request your assistance in disputing their denial and for further review of the Loan Modification."
5694,Mortgage,"Hello, I was notified in late XXXX of 2024 that we were part of the Data Breach of LoanCare. We have our mortgage through the company. Ever since this data issue in the months following I had major issues trying to pay my mortgage due to there website going down and then during one of the months it tried double charging me which then we had to cancel the payment with the bank for the one and have to wait to repay it another way entirely and I was told numerous times by representatives when I was able to reach someone that I would not have anything reported to the credit bureau because this was out of my control but yet they placed it on my credit report and refuse to remove it. Ive attached the letter from them showing I was affected by the data breach. Ive reached out to them via letters and they responded back stating they found no evidence and would not do anything further for me. There is actually an entire group of individuals like myself who have had these same issues like myself going through this same thing. I just want the months of XXXX, XXXX, and XXXX removed from my credit report as showing delinquent as this is inaccurate when I did not do this, and this was my not fault and out of my hands due to the data breach and operation issues they had on there end with there applications!"
5695,Debt collection,"I am submitting this complaint because a debt collector is attempting to collect and report an alleged debt without providing lawful validation as required under the FDCPA ( XXXX U.S.C. XXXX ), Regulation F ( XXXX XXXX XXXX ), the FCRA, and New Jersey state laws, including the NJ Consumer Fraud Act and the NJ Consumer Finance Licensing Act. I formally disputed the alleged debt and requested full validation, including : identification of the original and current creditor, a signed contract or compliant electronic agreement, itemized accounting of all amounts, complete chain of assignment/bills of sale listing my specific account, original statements, proof of charge-off, proof the debt is within the New Jersey statute of limitations , proof of an active NJ debt collection license, and evidence their initial notice met all Regulation F disclosure requirements. The collector has * * not provided legally sufficient verification * *, and instead continues credit reporting and/or collection activity. Reporting and collecting on an unverified debt violates FDCPA XXXX ( b ) and FCRA XXXX ( a ) ( XXXX ), as well as New Jersey laws prohibiting deceptive or unconscionable practices under XXXX. XXXX. Until full validation is provideddirectly from the original creditor, not internal summariesthe collector is required to cease all collection efforts and stop furnishing negative credit information. Failure to do so constitutes continued violations of federal and state law. I am requesting CFPB assistance to : 1. Require the collector to provide full and complete validation ; 2. Ensure they cease collection until validation is supplied ; 3. Correct or remove any unverified credit reporting ; and 4. Ensure compliance with FDCPA, Regulation F, FCRA, and New Jersey statutes."
5696,Credit card,"On XX/XX/2020 I received a text message on my phone from an unknown number. By replying to this text it allowed a hacker to hijack my phone. This gave them full access to everything on my phone including banking apps. The hacker used this information to do a cash advance of {$2200.00} to my credit card. I reported it as fraud and a case was opened. The case was closed because the bank claims my pin number was used to get the cash advance. At no time did I give my pin to anyone, especially for a large cash advance. I have disputed the claim and asked it to be reopened. XX/XX/2020, a second cash advance for {$2200.00} has now appeared on the new card they issued to me after the first incidence. I called in the claim today, XXXX XXXX. They told me to call back in a week to follow up. This was exactly what they said last time. Then they transfer me between multiple departments. First they did not resolve the first fraud incidence and blamed me for it, now they do not offer protection against it happening again. I closed the credit card completely today, but was told I am responsible for the {$4400.00} in cash advances until the fraud case is cleared. I am filing a police report with my local department today."
5697,Debt collection,"I received a wage garnishment for   XXXX   XXXX     XXXX   using my SS # and my address. I have no idea who this person is. I contacted the collection agency and they could n't give me any details, other than I need to file a dispute but my wages could get garnished and then refunded if my dispute is deemed credible. I have submitted a dispute to the dept of education on their website but I have no idea how long this will take. I ca n't get any information about this   XXXX   XXXX   XXXX   XXXX    loan documentation. I do n't even know what to do next! Help!"
5698,Credit reporting,"On XX/XX/year> I sent this letter to the these companies in regards to my information To : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX CC : Equifax XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX : Formal Complaint Regarding Data Breach, FERPA and Title IV Violations, and Request for Immediate Discharge of Student Loans To Whom It May Concern, I am writing to formally lodge a complaint regarding the unauthorized access and breach of my educational records, financial aid data, and IRS tax information by the U.S. Department of Education ( DOE ) and the Department of Government Efficiency ( DOGE ). This breach constitutes a direct violation of the Family Educational Rights and Privacy Act ( FERPA ) and Title IV regulations, as well as an egregious violation of my personal privacy and financial security.

I recently discovered that my sensitive and legally protected records were accessed and potentially shared without my consent. This includes but is not limited to : XXXX. My academic records and personally identifiable information ( PII ). 
2. My Free Application for Federal Student Aid ( FAFSA ) data, including financial aid history and loan information.

3. My IRS tax transcripts, which were obtained and used without proper authorization.

These actions violate my rights under FERPA ( 20 U.S.C. 1232g ; 34 CFR Part 99 ), which grants me the right to control access to my educational records, as well as Title IV of the Higher Education Act, which governs the use and protection of federal student aid information. Furthermore, unauthorized access to my IRS tax data raises serious concerns regarding potential identity theft, fraud, and violations of federal data security standards."
5699,Money transfer or service,"I paid for concert tickets via the XXXX app and was scammed. I never received my tickets and attempted to cancel my transaction through XXXX as well as through my bank, XXXX, but both have claimed they are unable to do anything at all. XXXX will not let me dispute the charge. XXXX claimed they could not stop the transaction even though I called immediately after making the transaction and before it has been posted. I also called Chase bank, the bank which the scammer claimed he has an account with, in order to report someone using an account for fraudulent activity. I was told by Chase that there is no avenue through which to report something like that. I have also submitted a police report through the Internet Crime Complaint Center."
5700,Consumer loan,I received a loan offer from Best Egg ... I was only interested due to the No origination fee offer ... I completed the application process and then noticed the disclosure of a XXXX charge for a origination fee..I called the XXXX service center in XXXX XXXX and was told..sorry we cant help you ... I then spoke to the supervisor on duty who offered no explanation. I feel that this is very deceptive.practice.
5701,Credit reporting,"Dear Consumer Financial Protection Bureau, I am submitting this formal complaint regarding collection account inaccurately appearing on my credit report, The account in question is listed under XXXX XXXX XXXX with an open balance of {$960.00} and reported as a collection account. This account was previously disputed and successfully removed from one or more of my credit reports due to inaccuracies and/or lack of validation. However, the account has recently been reinserted without proper notice or a valid investigation. The original creditor was XXXX and it appears the debt may have been sold or transferred to XXXX XXXX XXXX. I was not provided proper validation of this debt by XXXX XXXX, nor was I given the legally required five-day notice prior to reinsertion as required by the For Credit Reporting Act ( FCRA ), 15 U.S. Code 1681i ( a ) ( 5 ) ( B ) ( ii ). Additionally under the Fair Debt Collection Practices Ave ( FDCPA ), 15 U.S. Code 1692g, am entitled to a full complete validation of the debt, including : A detailed breakdown of the amount alleged The name and address of original creditor Proof of assignment or ownership of the debt XXXX XXXX XXXX A copy of any contract bearing my signature As of today, I have not received any of this documentation. 

I request that CFPB to investigate this matter as a violation of both the FCRA and FDCPA. I am requesting the immediate removal of this account from all consumer reporting agencies unless the furnisher can provide full validation, proof of legal assignment, and evidence of proper reinsertion procedures. Please find attached a screenshot of the account from my credit monitoring report relevant details. 

Thank you for your assistance in protecting consumers from unfair and inaccurate credit reporting. 

Sincerely, XXXX XXXX"
5702,Debt collection,"I am having problems with Fay Servicing 's nefarious tactics. I took out a balloon loan from XXXX XXXX services in the amount of {$220000.00} to remodel my house and convert it into a short term rental property in XXXX, Oregon. This was a success. The total value of the property increased by more than {$350000.00} and brings in XXXX to XXXX XXXX a year in net income. The balloon matures at the end of XXXX so I have been taking action, for months, to get into a XXXX loan and pay the balloon. My coverage ratio is about XXXX, well above the minimum. My new service company, XXXXXXXX XXXX XXXXXXXX needs one final piece of documentation to send it to underwriting, Verification of Mortgage. We have both been contacting Fay Servicing daily for weeks to get the request. They outright lied to my new loan officer, claiming they indeed filed the request. A week later, after inquiring of the request, there is no record of the request. I have concrete evidence of this, an email verifying the request from Fay Servicing and a second email from my new officer saying Fay Servicing never filed an actual request. They are trying to drag this out on the Balloon until I am liable for {$110.00} dollars daily interest payments. After researching Fay Servicing more, I discovered they practice these types of deception often as I am sure you know. Thank you for your time, XXXX"
5703,Credit card,"I have had a US Bank account, of some kind, for more than 40 years. I have been satisfied with their service, until I received a deceptive offer to apply for a credit line limit increase. 

A couple weeks ago, I received a pre-approved credit line increase and was provided a special pre-approval code. My credit score, according to US Bank last week, is XXXX and remains unchanged. 

After deceptively enticing me to apply for this pre-approved offer, US Bank did a hard pull of my credit and then declined the pre-approved offer, even though my credit score remained unchanged at XXXX. 

Now, my credit score has, in fact, been damaged by US Banks intentional deception. This review has been submitted to the CFPB, the XXXX, and the Washington State Attorney General Office."
5704,Debt collection,"received an email from a lawyer saying i owe xxx.xx, they said they tried contacting me numerous times with failed attempts. it also states that they were going to withhold my checks and contact my job/references to let them know what was going on. they stated i had 12 hours to reply to set up payment arrangements if not then they would take me to court to pay xxxx.xx. i ended up contacting the said place & they have no record of any loans by me. also looked up address that was on email & found a phone number, decided to call & they mentioned that the address doesnt match where they are located. woman on phone said it was a scam & to report it to you guys."
5705,Mortgage,"Very concern about my overall mortgage payment. {$2700.00} This should never been the number please contact me I am very concerned. This was not what I negotiated with I feel there are problems with this. 

I was at XXXX That was what I signed up for in XXXX of 2024. It has not been a year and the numbers fluctuate even {$2800.00} really badly."
5706,Debt collection,I received A bill that states I owed {$930.00} and it had XXXX  listed on there and I took this to XXXXXXXX XXXX XXXX XXXXXXXX. I showed them the bill that they told me they don't know why I'm receiving this bill due to my account being closed and paid in full and they don't know who's Cascade Capital llc. That's listed on the bottom of the paper. I'm assuming this is a SCAM. They normally send me a bill with XXXX as the main name on their billing.
5707,Mortgage,"XX/XX/2018 I called XXXX XXXX  concerning my first Mortgage statement. I'm a brand new Mortgage customer at XXXX XXXX. I noticed a discrepancy with my first Mortgage statement so I called my Mortgage Co Customer Service Department and the Customer Service Rep was polite and courteous. After I explained my issue to her she was unable to resolve my issue and transferred me to her Supervisor at my request and that's when the problem began. I could tell that she was not a Supervisor just by her tone and the way she answered the phone. She was very RUDE & GHETTO. She was unwilling to assist or listen to what I had to say. She just kept repeating the same thing over and over again. Indicating that there was nothing that she could do for me at this time. I had to take a deep breath and count to 10 because I was about to go off on her, but I didn't. I informed her that I could not pay this amount on my statement and she transferred me to the Mortgage Assistance Department which was closed for the day. 

If this is the type of service that I can look forward to I can't wait to refinance or to have my Mortgage sold to another Company. I know that there's a current Lawsuit or one coming soon and I can't wait to jump on that band wagon. No one needs to be mistreated and treated like a number. She made it seems like I was bothering her, but she forgot who pays her salary. My Issue was never resolved so I'm stuck with this high payment. So I guess my other option is modification or bankruptcy."
5708,Money transfer or service,"For no reason, my PAYPAL account was permanently limited, and denied access to MY MONEY, when asked they provide no reason, As to why theyve done this, theyve repeatedly said violation of acceptable use policy, PAYPAL is using consumers, and abusing market power. I want MY {$11000.00} RELEASED."
5709,Credit reporting,"I XXXX XXXX, Social Security Number : XXXX Date of Birth : XX/XX/XXXX This CFPB comolaint I been filed to request pursuant to FCRA 605B ( 15 U.S.C. 1681c-2 ) that you, the EQUIFAX credit reporting agency , block information appearing on my consumer credit report that is the result of identity theft and fraud within 4 business days of you receiving this complaint. This fraudulent, inaccurate, and false information consists of ; 1. XXXX Date of Inquiry : XX/XX/XXXX XXXXXXXX XXXX  Date of XXXX : XX/XX/XXXX XXXX. XXXX XXXX XXXX Date of Inquiry : XX/XX/XXXX XXXX. XXXX XXXX XXXX Date of Inquiry : XX/XX/XXXX XXXX. XXXX Date of Inquiry : XX/XX/XXXX XXXX. XXXX XXXX XXXX Date of Inquiry : XX/XX/XXXXXXXX XXXX XXXX Date of Inquiry : XX/XX/XXXX XXXX. XXXX Date of Inquiry : XX/XX/XXXX XXXX. AUTORIGHTA Date of Inquiry : XX/XX/XXXX XXXX. XXXX  Date of Inquiry : XX/XX/XXXX I've attached a list of the hard inquiries in question as well as a copy of the consumer FICO credit report maintained by you which shows the aforementioned fraudulent raud. I have attached a copy of FTC Identity Theft Criminal Complaint # ( private case number is proof from the US Federal Trade Commission that all of the aforementioned consumer credi accounts, collections, and hard inquiries are the result of identity theft and fraud."
5710,Bank account or service,I opened my bank account not knowing that I would have to move in the next couple of days but I did and I did not receive the debit card as I went online to access my account I wanted to change my address to the app and I have forgot my password so I called them to try to get access to my online account they locked me out because I did not have my account number or the debit card number I told them I had no way of giving them that information because I can't get into my online account and I don't have the debit card that was mailed to the wrong address they stated that there's nothing that they can do because I can't read by the account with my account number or my debit card information and I have and I told them what can they say I'm XXXX payment that I received back so that the person can send it a different way and I will figure out how to access my account they told me to go to the nearest branch and I asked for that information and I said oh well there's none in your area or your state and I said what can I do to verify who I am can I send you my ID a picture with me and my ID and a date or something or ask some questions and I said no there's nothing they can do and so for the last month I've been trying to access this account and they refuse to do so I am just trying to get into my account to get my money and they're refusing to help me
5711,Credit card,"Contacted representatives of the company via telephone and emails several times in XX/XX/XXXX and XX/XX/XXXX because of the financial hardship I am experiencing from Hurricane Irma. However, they continue to plague me with calls, jeopardizing my employment for an overdue payment and would not provide with an answer to my request for a payment deferment on my minimum payment due to XX/XX/XXXX on my credit card accounts."
5712,Mortgage,"I submitted complaint XXXX in XXXX because Mr. Cooper was not processing my payments correctly. In response to my complaint they suspended my due date until XXXX XX/XX/2019 and promised that future payments would be processed correctly. When I attempted to process a payment on XXXX XX/XX/2019. The payment system perpetuated the same error I made the previous complaint about. Mr. Cooper made the following promise in their response : "" Please note that because the account was current when we received the payments detailed above, the funds were applied to reduce the principal balance due on the loan. We understand any inconvenience that may create. We have submitted a request on XX/XX/2019, for a Message Code XXXX to be added to the account. This will prompt for a review to be completed of the payment details to ensure proper application. '' This was untrue and they did not fulfill. My payment should as regular payment when I submitted and was switched again to principle payment during processing. This causes two harms : failure to pay down accrued interest and failure to process escrow payments. At this point I have no faith the payment system is displaying correct information about the loan and I have no reliable way to reconcile to correct amount of interest charged."
5713,Credit reporting,"In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under XXXX USC XXXX. 

XXXX XXXX - XXXX XXXX XXXX - XXXX XXXX XXXX - XXXX XXXX - XXXX List of Unauthorized Inquiries : XXXX - XXXX XXXX - XXXX XXXX U.S.C XXXX Section XXXX A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions XXXX U.S.C XXXXc. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than XXXX years. 

XXXX U.S.C. XXXX ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate."
5714,Consumer loan,"Navient has repeatedly applied payments to the wrong loan, even when the payment amount and loan number are indicated on the payment slip. The company then charges late fees on the loans for which they did not apply the correct payment amount. Telephone representatives are unable to correct these errors."
5715,Credit card,"I applied for American Express through their pre approval page on their website. It showed me 3 cards with 2 different interest rates. When I received my card member terms of agreement ; the APR was at a random amount not even shown in any of the pre approval options. I called them right away and they made a case. Ive called about 6 times on the matter and no one there can get to me a department that can explain whats going on nor do they send me any correspondence about this so called investigation which they told me takes 60 days. Ive had my account open now about 4 months. To make matters worse, I received their 15 months no interest offer, and I keep getting charged interest every single statement period. Im sick of calling them. Theyre incorrectly and I feel illegally, reporting false debt totals to the credit bureaus. Ive called about this also every single month. Nothing is done. Im furious."
5716,Debt collection,"XXXX XXXX. XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX To Whom it may concern, I am writing to formally dispute inaccurate information being reported on my credit report regarding a charge-off. The accounts in question is listed as follows : Creditor Name : Commenity Bank XXXXXXXX XXXX XXXX XXXX XXXXXXXX XXXX Account # : XXXX XXXX XXXX XXXX Date of Charge-Off : XXXX XXXX XXXX XXXX It has come to my attention that the charge-off is being reported month after month on my payment history, which is incorrect. According to the Fair Credit Reporting Act ( FCRA ), negative information such as a charge-off should only be reported once, corresponding to the date it was charged off. 
The FCRA requires that credit reporting agencies ensure the accuracy of the information they report ( 15 U.S.C. 1681e ( b ) ). Repeatedly reporting the charge-off each month results in a misleading and inaccurate credit report, which has significantly harmed my credit score. Additionally, the statute of limitations for reporting a charge-off is seven years from the date of the first delinquency that led to the charge-off ( 15 U.S.C. 1681c ( a ) ( 4 ) ). Continuously reporting this charge-off as a new event each month does not reset the statute of limitations and is improper. 
I request that you promptly investigate this account and correct the inaccurate information by removing the repeated entries of the charge-off from my payment history. Please update my credit report accordingly and provide me with a confirmation of these corrections. 
Thank you for your prompt attention to this matter. 

Sincerely, XXXX XXXX. XXXX"
5717,Bank account or service,"Report of XXXX led to theft of card ending in XXXX again. Concern is the lack of privacy and the lack of enforcement surrounding thefts of financial records regarding matters involving Bank of America ( where subject of complaint is a financial institution ), CFPB ( regulating agency receiving reports about financial institutions not administering finances according to law ) and credit reporting agencies ( third party entities receiving information reported through regulating agencies and financial institutions ). I have not authorized a third party to act as my agent in this matter or any of the other matters filed through the CFPB and with any of the financial institutions listed on my credit reporting agency for anyone to lead or instruct a third party to perform such thefts."
5718,Mortgage,"The following individuals at Dovenmuehle Mortgage Inc can be charged today by the relevant authorities, with Accessory to Fraud for their role as accomplices in shady practices : XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX ( see attached XX/XX/XXXX letter full of lies ). 

I don't know if they are full-blown crooks or XXXX XXXX XXXX I do know this rat 's nest needs to be shut down and cleaned out. Please close this criminal enterprise today. 

XXXX XXXX  Form 1098 should show a whole number for our year-end principal reduction. Our interest payments should have been auto-withdrawn simply and completely at the beginning of each month. XXXX and DMI failed spectacularly and proceeded to attempt a shameless cover-up of their crime, with bizarre accounting maneuvers, slicing and dicing our whole-number payments into multiple bits and pieces. Hoping no one would notice the year-end wild discrepancy, totally in their favor. Please, please shut them down. Companies don't go to jail, but people do. The named individuals belong in Court."
5719,Consumer loan,"EdFinancial and XXXX on several occasions re-emphasized to me that all my loans are XXXX. Today EdFinancial claims I owe {$100000.00} by XX/XX/year> and no interest rate or schedule. I cant make a payment plan because XXXX still says all my loans are XXXX. So basically, Im about to be in default for a loan XXXX cant pay and that they swore was XXXX. They kept refunding my payments. I couldnt get a plan because I had no balance. I have multiple communications stating that. I should not be in default for their incompetence. And I should not have a payment of {$100000.00} in XXXX days when they just changed this balance today. They also show interest as XXXX but accrued interest somehow?"
5720,Credit card,"I made a large payment on XX/XX/XXXX to clear a 0 % promotional balance that was expiring on XX/XX/XXXX. Under federal Credit CARD Act rules ( 12 CFR 1026.53 ), banks are legally required to route excess payments to an expiring promotional balance during the two billing cycles prior to its expiration [ 12 CFR 1026.53 ] .Instead, the bank 's automated system illegally misallocated my overpayment to a non-expiring balance transfer. Because of this systemic routing error, my XX/XX/XXXX statement closed with unfair, compounding interest charges applied to my account.When I called customer service today to dispute the interest, an agent tried to tell me this illegal allocation was "" normal behavior. '' Another representative tried to force a 10-day delay for a "" team resolution. '' Because a 10-day delay would leave my account exposed to further compounding interest, I pushed back and demanded a partial refund ( minus the minimum payment ) and a full interest credit. The bank then stated it would take 7 days to process the refund.As of right now, I see absolutely nothing pending in my account appno credits, no adjusted balances, and no written confirmations. I am filing this complaint to ensure federal regulators document this systemic payment-routing violation and hold the bank 's billing department accountable for fixing my balance retroactively to XX/XX/XXXX."
5721,Bank account or service,I keep having to re-wire funds to pay for the same item due to Capital one not providing me proof of funds sent. When they do send something it expires before I can read it. So I request it again but I dont get it in a timely manner and then need to re-wire the funds again.
5722,Consumer loan,"On XX/XX/XXXX, I paid off my student loans. I made this in one payment of {$80000.00} and one for {$48000.00}. I then submitted a duplicate {$48000.00} and told them not to process the duplicate. They processed {$120000.00} and I received email confirmation of that. One account of mine was debited for {$80000.00} and the other for {$48000.00}. The payments showed up on my ledger as processed, and also showed that Aidvantage reversed the duplicate payment for {$48000.00}. My ledger went to zero money owed. 

On XX/XX/XXXX, I was informed by Aidvantage that I had successfully paid off all my student loans, in a letter saying, "" Congratulations on paying your loans in full. 
We received your final payment on XX/XX/XXXX. '' My ledger showed zero, and I separately received email confirmation they received {$120000.00}. 

On XXXX ( in a letter dated XXXX ) I was informed that a payment of mine was not processed on XX/XX/XXXX ( ten days prior to being informed that my loans were totally paid off ) due to customer revoking authorization for a {$29000.00} payment. However, the full {$120000.00} had been debited from both my accounts, and the {$29000.00} has not been returned to me on XX/XX/XXXX. On XXXX ( in a letter dated XXXX ), I was informed that a payment of mine for {$19000.00} had been returned to me on XX/XX/XXXX. 

On both occasions, NEW entries on the ledger showed up for XX/XX/XXXX showing payment reversal, which NEVER occurred. I NEVER had any money returned to me and my bank accounts were debited for the full sum of my accounts. In fact, the XXXX XXXX account they claim they reversed the payment to was closed the day after payment confirmation was received, so I don't even know how they would have reversed the payment : and they aren't providing any explanation of where they supposedly sent it. 

So Aidvantage has taken the full {$120000.00} from me but is claiming that I still owe {$48000.00}."
5723,Money transfer or service,"This is going to far. It is going on week 3 now. My account is still in suspension and no one seems to be able to answer any questions. XXXX XXXX called me and left a message letting me know that I needed to call her and I did several times and she never returned my call. I have been speaking to a XXXX XXXX who is a case manager who has absolutely did nothing. She called me to tell me that she received and email from XXXX on last Friday XX/XX/XXXX and that she believed it would be have an answer by this Monday which was yesterday XX/XX/. As of right not all my bills can not be paid because they have my funds on lockdown. Checks have bounced and my business is put on hold because they cant handle a large amount of money or their holding my funds for no reason. I have the release showing that the IRS released the money transfer to me and the bank "" XXXX XXXX tax accountants at the bank told me when I called that they released the check two weeks ago and that PNC never called them for clearance. I want them release my funds or give me an explanation as to why they haven't. This is insane."
5724,Credit card,"I have been receiving unwanted credit card applications at my work address from Capitol One since XX/XX/XXXX. I have contacted Capitol One on at least 12 occasions in the past 2 years to get this to stop. In XX/XX/XXXX, I signed up for the PERMANENT OPT OUT list with all credit reporting agencies and still I am receiving these offers. 

In the past 2 years, I contacted Capitol One on the following dates each after I received a unwanted credit card application. On each of these occasions I have been assured my name would be removed from the mailing list. 
I called in XX/XX/XXXX ; I called in XX/XX/XXXX ; In XX/XX/XXXX I spoke with XXXX ; XX/XX/XXXX I spoke with XXXX ; XX/XX/XXXX I spoke with XXXX, a supervisor ; XX/XX/XXXX I spoke with XXXX, a supervisor who said I would be removed from their list permanently ; XX/XX/XXXX I spoke with XXXX who provided a case number XXXX ; I called on XX/XX/XXXX ; in XX/XX/XXXX I spoke the XXXX, a manager to get this ti stop and with her supervisor XXXX ; on XX/XX/XXXX I received a letter from XXXX XXXX with Case number XXXX stating I would be removed from the list for 3 years. She suggested the op out registration. 
I received another solicitation in XXXX and called on XX/XX/XXXX and spoke with XXXX ; I registered for the Permanent opt out in XX/XX/XXXX. 
I called again on XX/XX/XXXX and spoke with XXXX ; After receiving another solicitation in the mail on XX/XX/XXXX I decided to file this complaint. I left a voice message for XXXX XXXX informing her I would be filing this complaint."
5725,Debt collection,"I have had a credit card from Discover since XXXX. When I wasn't able to work in XXXX, due to a XXXX   XXXX, and, not being able to collect any XXXX payment, I fell behind with my bills.Upon reporting my unemployment situation to Discovery, I was offered a payment plan option. I made payments until I wasn't able to continue to. Then my account was charged off for {$1500.00}, in XXXX. I contacted the lender about a potential settlement in early XXXX, I was told that my account was sold to third party. A collection law firm. Then I contacted that law firm, in an attempt to help me get rid of this debt. Instead of offering me an opportunity to settle the account representative who identified herself as XXXX, told that, "" Either you pay this debt in full, or we'll sent a request for garnishment to your job ... '' I kept on calling for payment option, every time I called, I'm given a new higher payment amount. I was told that I have accumulating late fees, interests, service charges accrued, being level on me, every single day that the account goes unpaid. And the latest updated charge as of XX/XX/XXXX, and per representative XXXX, the current amount that I owe on the account, is {$170000.00}."
5726,Debt collection,"I received federal student loans from XXXX XXXX in XXXX. The loans were discharged/ forgiven since the school ( XXXX XXXX ) engaged in fraudulent misconduct as there was a lawsuit this company. The loans were later transferred to XXXX ( Now XXXX ) in XXXX which discontinued federal loans and only engaged in private loans from this time moving forward. Now, XXXX XXXX XXXX ( NES ) based in XXXX is charging me for one of my federal loans in that amount of {$10000.00} which was initially {$5700.00} with an added interest of XXXX and an additional fee of {$25.00}. the initial loan was federally discharged and forgiven, but in the interim between XXXX XXXX and XXXX, this information was lost. XXXX ( XXXX ) refuses to assist me and constantly transfers me to National Enterprise Systems. I can send information from the XXXX XXXX XXXX department that this loan was completely cleared. Additionally, the amount reported by NES is not showing in my credit report at all. I question if this amount is legitimate."
5727,Money transfer or service,"I am writing to formally express my concerns regarding Zelles handling of disputes, particularly in light of the recent CFPB lawsuit highlighting significant issues with the platform. Despite using Zelle numerous times and reporting discrepancies, my financial institution and Zelle failed to investigate my claims adequately. They informed me that recovering lost funds was impossible and that tracking these transactions was unfeasible. The CFPBs findings indicates that Zelle has not only neglected to protect consumers but has also allowed repeat offenders to exploit the system, leaving users vulnerable to scams. This lack of accountability and transparency is unacceptable and raises serious concerns about consumer safety."
